2026-03-20 00:36:24,039 | INFO | binance_quant.orchestration.research_loop | Research progress stage=pre_screen_family_complete details={'completed_templates': 5, 'total_templates': 5, 'family': 'mean_reversion', 'family_variant_count': 8, 'survivors_so_far': 5}
2026-03-20 00:36:24,775 | INFO | binance_quant.orchestration.research_loop | Research progress stage=event_dataset_ready details={'event_count': 2055, 'survivor_count': 5}
2026-03-20 00:36:24,826 | INFO | binance_quant.orchestration.research_loop | Research progress stage=model_evaluation_started details={'feature_count': 44, 'event_count': 2055}
2026-03-20 00:36:24,841 | INFO | binance_quant.ml.modeling | Evaluating model=logistic_regression calibration=platt across 2 folds
2026-03-20 00:36:24,859 | INFO | binance_quant.ml.modeling | Skipping fold=0 for model=logistic_regression calibration=platt because no threshold met acceptance constraints
2026-03-20 00:36:24,878 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=logistic_regression calibration=platt threshold=0.550 acceptance=0.133 precision=0.902 expectancy=0.02769 trades=41
2026-03-20 00:36:24,879 | INFO | binance_quant.ml.modeling | Finished model=logistic_regression calibration=platt folds=1 precision=0.902 expectancy=0.02769 trades=41
2026-03-20 00:36:24,880 | INFO | binance_quant.ml.modeling | Evaluating model=logistic_regression calibration=isotonic across 2 folds
2026-03-20 00:36:24,899 | INFO | binance_quant.ml.modeling | Completed fold=0 for model=logistic_regression calibration=isotonic threshold=0.450 acceptance=0.260 precision=0.750 expectancy=0.01747 trades=80
2026-03-20 00:36:24,919 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=logistic_regression calibration=isotonic threshold=0.550 acceptance=0.159 precision=0.816 expectancy=0.02353 trades=49
2026-03-20 00:36:24,921 | INFO | binance_quant.ml.modeling | Finished model=logistic_regression calibration=isotonic folds=2 precision=0.783 expectancy=0.02050 trades=129
2026-03-20 00:36:24,922 | INFO | binance_quant.ml.modeling | Evaluating model=random_forest calibration=platt across 2 folds
2026-03-20 00:36:25,532 | INFO | binance_quant.ml.modeling | Completed fold=0 for model=random_forest calibration=platt threshold=0.450 acceptance=0.208 precision=0.797 expectancy=0.01950 trades=64
2026-03-20 00:36:26,214 | INFO | binance_quant.ml.modeling | Completed fold=1 for model=random_forest calibration=platt threshold=0.500 acceptance=0.127 precision=0.795 expectancy=0.01963 trades=39
2026-03-20 00:36:26,253 | INFO | binance_quant.ml.modeling | Finished model=random_forest calibration=platt folds=2 precision=0.796 expectancy=0.01956 trades=103
