symbol,strategy_id,family,entry_time,exit_time,side,net_return,gross_return,exit_reason,bars_held,signal_strength,label_take,target_hit,stop_hit,horizon_hit,mae,mfe,mae_limit_breached,recent_same_side_failures,recent_same_side_mean_return,open,high,low,close,volume,close_time,quote_asset_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,log_return_1,log_return_4,log_return_16,vol_norm_return_4,body_ratio,upper_wick_ratio,lower_wick_ratio,range_ratio,rsi_14,macd_hist,ema_fast_distance,ema_slow_distance,ema_fast_slope,ema_slow_slope,bb_bandwidth,bb_zscore,atr_14,volume_zscore,relative_volume,trend_regime,volatility_regime,drawdown_20,hour_sin,hour_cos,day_of_week,session_bucket
SIRENUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-09 13:30:00+00:00,2025-12-09 13:45:00+00:00,long,-0.004337003324839994,-0.003537003324839994,signal_exit,1,0.00841495975095384,0,False,False,False,0.0063595248427279405,0.001882237989504796,0,2,0.0033143228208926067,0.08856,0.08874,0.08824,0.08824,24456.0,2025-12-09 13:44:59.999000+00:00,2163.61532,80,7561.0,669.97285,-0.004297190826096437,-0.003619913455134464,0.006480609344752843,-1.8827325001151833,0.6400000000000011,0.3599999999999989,0.0,0.0056663644605621085,49.57925201245231,5.349572197804346e-05,-0.0003153994262859308,-0.0010491980869265407,0.0006771193154511135,0.0003638778525150155,0.013618244728982066,0.20249674348941632,0.0004188732651890239,-0.36861641387266286,0.7109302325581396,-1.0,0.08,-0.004287971112615696,-0.2588190451025208,-0.9659258262890683,1,1.0
XRPUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-09 15:30:00+00:00,2025-12-09 15:45:00+00:00,long,0.01310279565600181,0.013902795656001811,target,1,0.4251087426463863,1,True,False,False,0.0034599449529867324,0.01649580083018264,0,4,-0.0039926516462653995,2.0843,2.1045,2.0774,2.1026,19502159.2,2025-12-09 15:44:59.999000+00:00,40778836.67236,54331,10551296.9,22067191.82959,0.008693630106670815,0.025383662686888003,0.020080417231695975,6.52203456962642,0.6752767527675295,0.0701107011070118,0.2546125461254587,0.012888804337486875,71.25543713231932,0.0023238950422092264,0.016081071531321982,0.017474607875004038,0.002922632841896755,0.0007435930454942064,0.02729271290274112,1.2127239595881325,0.012700436203702335,2.408474526827051,3.3666027183477514,1.0,0.96,0.0,-0.7071067811865471,-0.7071067811865479,1,1.0
SOLUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-09 15:45:00+00:00,2025-12-09 16:00:00+00:00,long,0.015599604820811052,0.016399604820811053,target,1,0.690748946871397,1,True,False,False,0.0010301917407717456,0.037405829958900516,0,5,-0.004994039036800426,136.31,138.46,136.19,138.42,1695894.3,2025-12-09 15:59:59.999000+00:00,233159192.80332,152597,811041.61,111479461.34802,0.015360837830965488,0.04408732569563853,0.04092133481050074,8.081468975097097,0.929515418502192,0.017621145374458275,0.05286343612334978,0.016399364253720634,84.53744734356985,0.5478594876768123,0.03480978446505447,0.037261956638942786,0.0074438057697050475,0.0029115276428040016,0.04619759794901029,1.693212616061546,0.9925700234109018,4.0507625459575225,6.432870107556479,1.0,1.0,0.0,-0.7071067811865471,-0.7071067811865479,1,1.0
BNBUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-09 16:00:00+00:00,2025-12-09 16:00:00+00:00,long,0.010587006635584371,0.011387006635584371,target,0,0.7088651946577901,1,True,False,False,0.0002160483434259211,0.012348423073000188,0,3,-0.0030827315171602096,907.98,919.33,907.92,917.81,50699.67,2025-12-09 16:14:59.999000+00:00,46341670.3507,62300,26441.78,24170674.3543,0.010768045594347082,0.034156689232468056,0.03488977335004314,8.277013227529508,0.8615249780893827,0.1332164767747664,0.005258545135850893,0.012431766923437403,85.4432597328895,3.2678219708406666,0.027628895689428033,0.02923520640827825,0.006482707167491553,0.002528687524580686,0.03935924650308089,1.601074611026969,4.655840774130514,3.5507286750760825,6.028162283148233,1.0,1.0,0.0,-0.8660254037844385,-0.5000000000000004,1,2.0
HYPEUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-09 16:15:00+00:00,2025-12-09 17:15:00+00:00,long,-0.01616346595473046,-0.015363465954730461,stop,4,0.4023834114077991,0,False,True,False,0.022434999116436944,0.008258811707765566,0,3,0.002323948249734471,28.894,29.082,28.717,28.934,646065.34,2025-12-09 16:29:59.999000+00:00,18668000.08431,56650,321270.2,9289224.9699,0.001348804437657177,0.023605383281281457,0.03199177264857711,4.49718946040419,0.1095890410958972,0.40547945205479147,0.48493150684931136,0.012614916706988387,70.11917057038995,0.11641670352362386,0.023641275897541173,0.022514698206504077,0.006864114201115212,0.002782563848228836,0.045577830247145484,1.219236603032438,0.3009153065342427,2.5198587930935945,3.2555055886733544,-1.0,0.21,0.0,-0.8660254037844385,-0.5000000000000004,1,2.0
LYNUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-10 02:15:00+00:00,2025-12-10 06:00:00+00:00,long,0.032480872609075895,0.0332808726090759,target,15,0.23015097293430187,1,True,False,False,0.006896603836010379,0.04383802618541083,0,2,0.001513153432105941,0.0741,0.07459,0.0738,0.07437,855645.0,2025-12-10 02:29:59.999000+00:00,63438.23511,871,460488.0,34162.99169,0.0039070443772850245,0.0142192117437047,0.04552804412232797,1.5860660627120242,0.3417721518987426,0.2784810126582256,0.3797468354430317,0.010622562861368819,61.507548646715094,0.0003153519268880543,0.020723519646438305,0.019179700835463564,0.005415811533656667,0.0021232064531713224,0.05876106947109692,0.9643125967691287,0.0009725506715431576,-0.2950282339004996,0.8375121637284754,-1.0,0.19,0.0,0.49999999999999994,0.8660254037844387,2,0.0
HYPEUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-10 03:15:00+00:00,2025-12-10 07:15:00+00:00,long,0.0235004798846425,0.024300479884642498,target,16,0.2496482774994675,1,True,False,False,0.006601297751765986,0.02558555948750533,0,3,-0.0017239928850000755,28.672,28.706,28.487,28.656,164028.89,2025-12-10 03:29:59.999000+00:00,4689958.59764,26945,90996.89,2601666.72838,-0.0006279435057202077,0.015154735282630182,0.027058789176525416,2.646313139629431,0.07305936073060139,0.15525114155250563,0.771689497716893,0.007642378559464029,62.482413874973375,0.09166828245871718,0.014648833178534921,0.014031144259188619,0.004822647773190747,0.0016641183462386966,0.0354451728713528,1.0774722642285994,0.2744720662809333,-0.06551006231647322,0.9611551148106469,-1.0,0.31,-0.0006277463904582614,0.7071067811865476,0.7071067811865476,2,0.0
SIRENUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-10 09:00:00+00:00,2025-12-10 10:00:00+00:00,long,-0.01702723016818156,-0.01622723016818156,stop,4,0.23537455565819868,0,False,True,False,0.024627973837191366,0.0027780124887088167,0,3,0.0011124357864832845,0.08537,0.08562,0.08481,0.08514,199465.0,2025-12-10 09:14:59.999000+00:00,17000.6828,357,81270.0,6935.89781,-0.002697790622208781,0.009915095392196444,0.03246883448933508,1.3244316108912355,0.28395061728395865,0.3086419753086403,0.40740740740740106,0.009513742071881668,61.768727782909934,0.0002644322878452523,0.015775884635986837,0.013791694025265207,0.005332751936789393,0.002501697740606712,0.045222565459790816,0.8254618968793144,0.0009155639849665011,-0.21623720106809338,0.6383364795278319,-1.0,0.99,-0.00269415485533564,0.7071067811865476,-0.7071067811865475,2,1.0
SIRENUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-10 16:30:00+00:00,2025-12-10 16:45:00+00:00,long,0.022943611080686765,0.023743611080686764,target,1,0.2980971239292802,1,True,False,False,0.0020387142636986415,0.060879829064601425,0,4,-0.0017821191950124118,0.0847,0.08521,0.08454,0.08509,61176.0,2025-12-10 16:44:59.999000+00:00,5191.7787,209,26024.0,2211.27076,0.004593918203457212,0.0206609106646631,0.03212408294603982,3.2655729221953367,0.5820895522388168,0.17910447761193565,0.23880597014924754,0.00787401574803138,64.90485619646401,0.00024032670199989242,0.017904062299227846,0.017947519587417783,0.004640876125076243,0.001857185145007989,0.037894082277913826,1.1606886986021638,0.0007949431935562378,-0.6651830978925786,0.20846575799307296,1.0,0.65,0.0,-0.8660254037844385,-0.5000000000000004,2,2.0
BNBUSDT,trend_ema__directionlong_only_fast9_rsi_threshold58.0_slow55,trend_ema,2025-12-10 16:45:00+00:00,2025-12-10 18:30:00+00:00,long,0.006945016500749048,0.0077450165007490485,target,7,0.37571355044441046,1,True,False,False,0.0017803983857713039,0.008828504616125117,0,3,-0.0011911629783423459,895.34,898.22,894.28,896.8,8146.44,2025-12-10 16:59:59.999000+00:00,7305065.0628,13268,5375.5,4820508.0579,0.0016293373542170188,0.005949868806234826,0.010187758680099671,4.327628683532333,0.370558375634493,0.36040609137057183,0.26903553299493516,0.004393398751115137,68.78567752222052,0.8577739111221455,0.0056351340493767995,0.005421381080116455,0.0016291383505795398,0.0006191464490774568,0.013802223285554319,1.0170390822859503,2.857457773832642,0.7316044448523823,1.3526272194025715,-1.0,0.18,0.0,-0.8660254037844385,-0.5000000000000004,2,2.0
